Safety_Violent,Safety_Prop,Gender,Race,District,Income,Edu,Age,YearsDallas,OwnHome
2,2,1,3,7,2,3,4,40,2
4,3,1,3,1,2,3,1,20,2
3,3,1,1,4,5,9,5,60,1
9,9,2,3,6,1,2,5,60,2
2,2,1,2,6,1,1,5,45,1
2,4,1,2,4,5,3,3,9,2
2,2,2,3,6,3,3,4,40,1
1,3,2,1,7,1,3,1,29,2
2,2,1,1,3,9,9,4,40,2
1,3,2,1,7,3,3,3,46,1
3,3,2,3,6,2,3,1,19,1
1,2,2,1,7,1,3,4,61,1
2,2,2,1,7,1,2,4,40,1
4,4,1,2,2,5,3,1,10,1
3,3,2,3,1,2,3,9,55,1
1,1,1,3,1,1,1,5,48,1
3,1,2,2,14,3,3,4,59,1
2,2,1,3,3,9,3,1,999,1
1,1,2,3,12,9,9,1,22,1
4,4,2,3,2,2,2,5,35,1
3,3,1,2,13,3,3,5,41,1
2,2,2,1,4,1,2,4,56,2
2,1,2,1,4,1,3,5,65,2
2,2,2,2,14,5,3,4,62,2
3,4,2,3,14,3,2,5,20,1
3,3,1,3,2,4,3,1,7,2
1,2,9,4,8,2,2,4,6,2
2,1,2,1,8,2,3,1,23,2
2,3,1,3,6,2,2,2,33,1
3,3,2,1,4,1,3,4,60,1
2,3,1,1,4,1,2,3,45,2
3,2,2,2,6,2,1,1,27,1
1,1,2,1,7,2,3,3,48,1
2,2,1,2,12,3,3,5,31,2
2,3,2,1,3,5,2,4,56,2
3,3,2,3,6,4,3,2,32,1
1,2,2,3,4,2,2,5,55,1
3,2,2,1,4,1,2,5,82,1
3,3,2,2,2,5,3,1,1,2
3,2,1,2,6,3,3,1,6,1
1,1,2,1,4,2,3,3,53,1
1,1,1,3,7,5,3,4,58,2
2,3,2,3,6,1,1,1,22,1
4,4,2,2,6,5,3,3,54,1
1,9,1,1,4,2,3,2,42,1
1,1,2,2,14,5,3,1,10,1
2,2,2,1,3,3,3,3,42,1
2,2,1,1,4,1,2,2,35,2
1,3,2,1,3,2,3,1,18,1
4,4,1,2,6,5,3,5,68,1
2,1,2,2,1,5,3,3,25,2
4,3,1,3,14,2,3,4,30,2
2,2,2,2,1,3,3,4,48,1
4,2,1,2,6,5,3,3,8,2
2,2,2,1,4,3,3,4,51,1
3,3,2,3,1,2,3,3,35,1
3,3,2,1,8,2,3,1,11,2
2,1,2,3,6,2,3,3,37,1
1,2,1,1,8,2,3,4,50,1
1,1,1,3,1,1,2,3,29,1
5,4,2,1,14,3,3,2,15,2
2,2,2,3,1,2,3,2,30,1
1,1,2,3,3,5,3,1,27,2
2,1,2,1,4,2,2,5,39,2
2,3,2,3,4,9,2,4,30,2
3,2,2,3,14,4,3,1,5,1
3,4,1,2,12,5,3,1,16,2
3,5,1,3,14,2,3,4,3,1
2,2,1,4,12,2,3,1,16,1
3,3,1,3,12,5,3,1,31,2
2,3,1,3,1,1,1,2,36,1
4,3,1,1,12,5,3,5,5,2
2,1,1,3,12,1,3,1,32,2
2,1,2,1,4,9,2,4,47,2
4,3,2,2,14,4,3,1,11,2
2,2,2,3,1,1,2,5,87,1
1,1,2,3,6,2,1,1,31,2
3,3,2,3,13,2,3,3,43,1
2,2,2,1,4,2,3,3,53,1
1,1,2,3,5,1,1,3,44,2
4,4,1,3,5,1,1,5,46,2
4,3,2,2,12,5,3,3,52,1
2,2,2,2,14,5,3,2,28,1
3,2,2,3,6,9,3,9,30,1
3,3,1,2,14,5,3,4,46,2
1,2,1,3,6,4,3,3,13,1
3,2,2,3,6,4,3,2,22,1
5,4,1,1,7,2,3,3,50,2
3,3,2,3,13,5,3,1,16,1
1,9,2,1,7,1,2,4,48,2
3,4,1,3,7,3,3,2,37,1
9,3,1,1,7,3,3,2,38,2
5,4,2,2,12,5,3,2,30,2
1,1,2,1,7,1,3,1,21,1
